Year,NTD_ID,Agency,Mode,Mode_Code,Service_Area_Pop,Operating_Expenses,Fare_Revenue,VRM,VRH,UPT,VOMS,OE_per_UPT,OE_per_VRM,OE_per_VRH,UPT_per_VRM,Farebox_Recovery_Pct,Avg_Fleet_Age,Fare_Ops_Funding,Federal_Ops_Funding,State_Ops_Funding,Local_Ops_Funding
2014,90199,City of Madera,Fixed Route Bus,MB,62514.0,845828.0,105350.0,178186.0,12560.0,143710.0,6.0,5.89,4.7469,67.34,0.8065,12.46,5.3,,,,
2014,90199,City of Madera,Demand Response,DR,62514.0,793120.0,43830.0,182701.0,11536.0,36662.0,7.0,21.63,4.3411,68.75,0.2007,5.53,3.2,,,,
2015,90199,City of Madera,Fixed Route Bus,MB,62514.0,712624.0,91262.0,163507.0,12575.0,131493.0,6.0,5.42,4.3584,56.67,0.8042,12.81,5.5,149222.0,888435.0,426076.0,0.0
2015,90199,City of Madera,Demand Response,DR,62514.0,751109.0,30432.0,186796.0,12020.0,40505.0,7.0,18.54,4.021,62.49,0.2168,4.05,4.4,149222.0,888435.0,426076.0,0.0
2016,90199,City of Madera,Fixed Route Bus,MB,64208.0,846817.0,89244.0,171428.0,12560.0,108391.0,7.0,7.81,4.9398,67.42,0.6323,10.54,7.1,403352.0,731682.0,613552.0,0.0
2016,90199,City of Madera,Demand Response,DR,64208.0,901769.0,27808.0,175436.0,13016.0,39146.0,9.0,23.04,5.1402,69.28,0.2231,3.08,4.4,403352.0,731682.0,613552.0,0.0
2017,90199,City of Madera,Fixed Route Bus,MB,64208.0,945588.0,84283.0,197570.0,14864.0,103002.0,7.0,9.18,4.7861,63.62,0.5213,8.91,8.1,398181.0,809836.0,665218.0,0.0
2017,90199,City of Madera,Demand Response,DR,64208.0,927647.0,22732.0,169178.0,13354.0,35661.0,9.0,26.01,5.4833,69.47,0.2108,2.45,5.4,398181.0,809836.0,665218.0,0.0
2018,90199,City of Madera,Fixed Route Bus,MB,66225.0,1067811.0,97935.0,204726.0,15495.0,111564.0,8.0,9.57,5.2158,68.91,0.5449,9.17,9.1,451870.0,927853.0,755234.0,0.0
2018,90199,City of Madera,Demand Response,DR,66225.0,1067146.0,21128.0,149147.0,11179.0,32224.0,9.0,33.12,7.155,95.46,0.2161,1.98,6.4,451870.0,927853.0,755234.0,0.0
2019,90199,City of Madera,Fixed Route Bus,MB,66225.0,1067697.0,126876.0,242305.0,19119.0,89650.0,8.0,11.91,4.4064,55.84,0.37,11.88,10.1,426337.0,909581.0,813957.0,0.0
2019,90199,City of Madera,Demand Response,DR,66225.0,1082178.0,46970.0,101922.0,10313.0,20981.0,9.0,51.58,10.6177,104.93,0.2059,4.34,7.4,426337.0,909581.0,813957.0,0.0
2020,90199,City of Madera,Fixed Route Bus,MB,66225.0,1327094.0,81501.0,241800.0,17776.0,82716.0,16.0,16.04,5.4884,74.66,0.3421,6.14,6.3,145468.0,1094387.0,1192282.0,0.0
2020,90199,City of Madera,Demand Response,DR,66225.0,1105043.0,38637.0,72130.0,8047.0,12755.0,8.0,86.64,15.3202,137.32,0.1768,3.5,7.3,145468.0,1094387.0,1192282.0,0.0
2021,90199,City of Madera,Fixed Route Bus,MB,66225.0,1377788.0,0.0,212951.0,16171.0,55734.0,13.0,24.72,6.47,85.2,0.2617,0.0,4.5,25330.0,1270464.0,1097845.0,0.0
2021,90199,City of Madera,Demand Response,DR,66225.0,1015851.0,0.0,30721.0,2996.0,4345.0,6.0,233.8,33.067,339.07,0.1414,0.0,7.5,25330.0,1270464.0,1097845.0,0.0
2022,90199,City of Madera,Fixed Route Bus,MB,66225.0,1681016.0,0.0,182317.0,11824.0,45912.0,13.0,36.61,9.2203,142.17,0.2518,0.0,5.5,37641.0,2619708.0,204038.0,0.0
2022,90199,City of Madera,Demand Response,DR,66225.0,1180371.0,0.0,62178.0,4183.0,6252.0,6.0,188.8,18.9837,282.18,0.1006,0.0,8.5,37641.0,2619708.0,204038.0,0.0
2023,90199,City of Madera,Fixed Route Bus,MB,66225.0,1584061.0,0.0,203428.0,14126.0,62770.0,11.0,25.24,7.7868,112.14,0.3086,0.0,5.4,32755.0,1162309.0,1586794.0,0.0
2023,90199,City of Madera,Demand Response,DR,66225.0,1197797.0,904.0,80387.0,5760.0,13164.0,6.0,90.99,14.9004,207.95,0.1638,0.08,9.5,32755.0,1162309.0,1586794.0,0.0
2024,90199,City of Madera,Fixed Route Bus,MB,66225.0,1949330.0,0.0,253314.0,16823.0,77213.0,14.0,25.25,7.6953,115.87,0.3048,0.0,5.2,37576.0,1272285.0,1990782.0,0.0
2024,90199,City of Madera,Demand Response,DR,66225.0,1351313.0,3340.0,104345.0,7969.0,17677.0,8.0,76.44,12.9504,169.57,0.1694,0.25,7.1,37576.0,1272285.0,1990782.0,0.0
